"","Excit","Inhib","mixedNeu","NPC","Oligo","OPC","Astro","Micro"
"ENSG00000123560.13",0.55882189055939,0.42979322243843,0.437872068770582,1.16999421597317,3.19816471958464,1.59946329184928,1.064770996594,1.77452755042619
"ENSG00000080822.16",0.129352470259091,-0.125340482878122,0.268447315122529,0.254032058816122,2.14476318439896,0.640218066167406,0.300350715620179,0.701790098710028
"ENSG00000070214.15",0.154369500457547,-0.14056631100392,0.104883520630832,0.0249621307475752,1.84811733117181,0.742309344437281,0.353169692992437,0.373113145172039
"ENSG00000167123.18",-0.287433413348549,-0.55497711373879,-0.772484276839927,0.0814824224871896,2.20591865515562,0.587196197460632,0.218028197698684,0.751531523867786
"ENSG00000137941.16",0.748911313925734,0.366873750782395,0.641998705657183,0.784604918848324,1.97422451395459,0.627011026843877,-0.0285924683489906,0.441028380770071
"ENSG00000173786.16",-0.488454896178362,-0.454439979383827,-0.378672010803493,-0.0766092270110307,1.86898732286878,0.655822813167463,0.00545071454168691,0.238193353719273
"ENSG00000099194.5",-0.147100772617639,-0.388188090789177,-0.289357747426876,0.281589447538892,2.11842196826758,0.541732115720689,0.434082464958916,0.771108365186451
"ENSG00000005893.15",-0.227951590124604,-0.139321397864615,0.0724608592902698,0.518657939713948,1.90740337008799,0.696691874599673,0.556315459873005,0.877734654743031
"ENSG00000197430.10",-0.832020382521514,-1.03508953848913,-0.568285881364594,-0.495021123443728,1.91864512527882,-0.17853407586994,-0.173490517330948,0.405987879699883
"ENSG00000164124.10",-0.703965942525673,-0.867313390706667,-0.651076493986636,-0.575810693551953,1.76741980856398,-0.19687089064401,0.316547663915157,0.278985557813847
"ENSG00000164176.12",0.597396414499588,0.583101273223957,-0.0782977913043746,0.498698151057502,1.95533154900936,1.27630825956935,-0.233135758952337,0.296976696093945
"ENSG00000184144.10",-0.42588215735101,-0.403705409832282,-0.440739286531219,0.0872995516233813,1.62510095674725,-0.00774787554263414,-0.273908184068803,-0.0144447581328637
"ENSG00000181409.11",-0.18703532929691,0.10282829964174,0.28059287318134,-0.0468064329671697,1.74221916036695,0.115866266091739,0.179761780241378,0.0838841101277672
"ENSG00000164161.9",-1.17606882085387,-1.14689176498824,-1.39628003569093,-0.595786004050264,1.25619685224387,-0.763357610981537,-0.879395232802836,-0.261628062590818
"ENSG00000124920.13",-1.04163744808804,-1.37205135235359,-1.25933107733468,-0.640796456727944,1.34327283017489,-0.358687641123165,-0.682875087047247,-0.313335942010028
"ENSG00000150656.14",-1.02143368021798,-1.34080050828461,-1.03567663089157,-1.56852235591249,1.53327968261683,-0.204133377538463,-0.573331730097096,-0.0784487239008425
"ENSG00000103540.16",0.293736513536117,-0.147845277607538,0.155161172619813,0.147071633565941,1.4497499103464,0.102924020929583,0.0220485079613646,0.237321611031108
"ENSG00000108387.14",-0.608926616387498,-0.302844010898184,-0.747610312639122,-0.640907325151455,1.44117163445793,-0.254439231704928,-0.000913468656052077,-0.11265196533128
"ENSG00000166923.10",-1.2709957893647,-1.76813023761514,-1.41779030425567,-0.775631274470244,0.880654276714002,-0.984191827554294,-1.00705140227156,-0.703093798738501
"ENSG00000151552.11",0.0145561406687604,-0.0944803442532038,0.101927580557215,0.489370062987597,1.75479091617305,0.134786117435381,-0.154104817519509,0.293973857015989
"ENSG00000180071.19",-0.842130925616342,-0.747449316594737,0.240907334258754,-1.56852235591249,0.928164488649673,0.203036471915469,-0.936557313542413,-0.920947845457787
"ENSG00000168314.17",-0.821353418200586,-0.876609014662669,-0.751447092080236,-1.1142860490557,2.01875149835122,-0.177732673309573,-0.27628005280738,0.371132075052987
"ENSG00000091513.14",-0.173788506364587,-0.648266597243277,-0.451289859802136,0.287473907710171,2.07537406218457,0.503131316872471,0.166538854822807,0.464477702579437
"ENSG00000158865.12",-1.25723437682483,-1.6438070170037,-1.53243771464195,-1.56852235591249,0.912310335388357,-1.04759593529736,-0.945160819221595,-1.07247840083254
"ENSG00000197971.14",-0.0788516297034585,-0.290174238796316,-0.425831044525027,0.0517376634684157,2.23104314874173,0.69250719659347,-0.0783422250642929,0.687067936872012
"ENSG00000117266.15",-0.692371553481793,-1.08593649547775,-0.33544139212034,-0.747593375589432,1.48201978433304,-0.0315550248437221,-0.45014834624872,-0.0647605455030056
"ENSG00000078269.13",0.611706034422059,-1.08858539315376,0.260354067905207,0.158512594535207,1.17281988194928,-0.563842357685469,-0.830568449176428,-0.454639872516994
"ENSG00000172508.10",-0.698762590108817,-0.956566228151832,-0.951786138400717,0.0613701594583822,1.71744119197906,-0.258897966652474,-0.378136334149757,0.00950305965914296
"ENSG00000196187.11",-1.2253331283481,-1.32443179833692,-1.2521282047803,-0.914225811312977,1.26492935172489,-0.420262250259417,0.0222691731458814,0.170158912080663
"ENSG00000011426.10",-1.2891530710767,-1.08110680703767,-1.53243771464195,-0.0290587207448721,1.40957128497655,-0.743773430231616,-0.627864731098988,-0.239079905930197
"ENSG00000164171.10",-1.12140264730611,-1.80327684212894,-1.3352951486417,-1.065002046704,0.758193861471873,-1.39376092842967,-0.805920455745305,-0.943061931122741
"ENSG00000147488.11",-1.15312930225287,-1.01247743002769,-1.53243771464195,-0.592880813537332,1.3296014488706,-0.643777274498238,-0.753265318798647,-0.303165254023712
"ENSG00000081479.12",-1.42203614552967,-1.11900448890634,-1.53243771464195,-0.932074411270447,0.473814515191157,-1.36464955889103,-1.19576397621858,-1.00312981379394
"ENSG00000124406.16",0.332522329924605,0.263240773367558,0.971160632488115,0.0383964341443037,1.34056842735731,0.0755766788675153,0.125232000632201,-0.0198943484040821
"ENSG00000122367.19",-0.492326768703822,-1.72829181469232,-0.904309676553528,-1.00754542221164,1.04193093189632,-0.904571264557877,-0.833695747179709,-0.832071226883332
"ENSG00000112893.9",-0.193484412085462,-0.622980043579667,-0.85553746722358,-0.502105364876183,1.40234673334118,-0.31706297931162,-0.114327972595805,0.329935633806203
"ENSG00000277363.4",0.27844042845493,0.0289316005215428,0.256236931842041,-0.0462007032712,1.01555657458866,-0.662416753871196,-0.774655764567218,-0.566637531666405
"ENSG00000077522.12",-0.11447917235065,-0.633634020159435,0.579554227588451,-1.56852235591249,0.340768523150806,-0.179559435096006,-0.653030420811533,-1.09366946372485
"ENSG00000050438.16",-0.0761498812196164,-0.460218492855768,-0.347568020652801,-0.563150765990109,0.385223712689887,-0.480537917063861,-0.574202039160237,-0.696512439975937
"ENSG00000187135.7",1.36725174974409,0.734583557045555,0.375928112445583,0.550113555695028,1.77102596744769,1.6023623006114,-0.364633241580795,0.0491568262377705
"ENSG00000019582.14",-1.05539655502124,-0.0757670012325075,-1.53243771464195,-0.0583640567979055,-0.465504492338867,-0.843939422849065,-0.102294368391608,2.4384091745368
"ENSG00000139679.15",-1.51659340169339,-0.727301634076627,-1.53243771464195,-0.356375010469146,-0.851692565155061,-1.23481300266931,-0.625612555119412,2.07549993227366
"ENSG00000178573.6",-1.12367010304985,0.71959971367891,-1.15267829836756,0.00899989505243395,-0.0388412314716883,0.322334634851276,0.221525278245328,2.08761085087941
"ENSG00000266028.7",-0.396638372566237,-0.259283597700966,-0.388352496705875,-0.394151226814998,-0.309436832779112,-0.332561285041128,-0.932248924569258,1.48235617703913
"ENSG00000182578.13",-1.41748964506816,-0.888395497726269,-1.53243771464195,-0.624741995238606,-1.01167318318954,-1.28545214160316,-0.928072936320243,1.8250097055755
"ENSG00000125730.16",-1.39624489899604,-0.963830946570137,-1.53243771464195,-0.829477031089322,-0.877273688506133,-1.48028761621849,-0.503758046168201,1.5226157733233
"ENSG00000042980.12",-1.40828091490479,-1.3189369697709,-0.947849849815616,-1.11804843022348,-1.00429715149099,-1.30927671970829,-1.00434502563486,1.38667872089569
"ENSG00000137491.14",-1.41792179102911,-1.1214489170889,-1.53243771464195,-0.914666405617598,-1.01201900862998,-1.24104673947002,-1.02957523934363,1.35641832369412
"ENSG00000026297.15",0.0520214290862198,-0.232596366542309,-0.00302133435832456,-0.150621358303457,-0.849512848092913,-0.215734204970116,-0.129845712029424,1.63476724681409
"ENSG00000184060.10",-0.695226213018159,-0.837773728940936,-1.53243771464195,-0.479184277994729,-0.870924193310434,-1.46286028554359,-0.649487382521676,1.9159188402337
"ENSG00000081189.14",0.595717076665038,1.01247862829927,0.674760528346838,0.358606232692613,-0.787214298131784,-0.332502115674124,-0.212748197407461,1.60426547619209
"ENSG00000081237.18",-1.34491985561305,-1.21668650965533,-1.53243771464195,-1.08336869273617,-0.980759473597517,-1.56630115323069,-1.11430770694235,1.3101935181043
"ENSG00000119535.17",-1.51659340169339,-1.31544623099842,-1.53243771464195,-1.56852235591249,-1.04085730183591,-1.66474282559122,-1.11561446680651,1.31261153415246
"ENSG00000175899.14",-1.36397651957116,-1.05276888082238,-1.29637195866591,-0.991793096455604,-0.812605399409566,-1.26417253119086,-0.987925082850487,1.48569482216616
"ENSG00000105339.10",-0.263919210424121,-1.12017490622284,-0.77628011858458,-0.777451184297206,-1.05199774694673,-1.41651086568549,-0.853218013702298,0.997832097724391
"ENSG00000107099.15",-1.47759268147219,-1.48194997024445,-1.41159506707444,-1.01860952710186,-1.07976853508391,-1.60315847095967,-1.11200519689171,0.984280978482527
"ENSG00000168918.13",-1.51659340169339,-1.41431276713239,-1.53243771464195,-1.56852235591249,-1.07372814202872,-1.56956558646955,-0.706268799092319,1.2215559194544
"ENSG00000137642.12",-0.540543737553086,-0.213865238044409,-0.40252262378977,0.182423710721374,-0.0425068744155588,0.0440179632909168,0.351177671850242,1.44199421002062
"ENSG00000079277.19",0.080651959074424,-0.159470313421832,-0.0331760037309475,-0.118691495310719,-0.493604839946836,-0.179501859036422,0.377258893341677,1.52097833805932
"ENSG00000164199.15",-0.448513369298209,-1.15115993044813,-0.176318230900202,0.0431119235836723,-0.921928773807248,-1.21984972016909,1.46904707967268,-1.2576646355419
"ENSG00000110436.11",0.0841872620689462,-0.0640430649096731,-0.0370872604394089,0.247286945999813,-0.408963857840409,1.11000303349002,2.06784246344489,-0.177145348983229
"ENSG00000080573.6",0.367352164494705,-1.15654150304398,-1.53243771464195,-1.0113900076739,-0.798926840565434,0.177873923874315,1.59012907154293,-0.746836448650103
"ENSG00000152583.12",-0.590348838028048,0.435269309269413,-0.423892021155588,0.104499246083464,-0.0432405222677874,0.859216940096462,2.06790961103918,0.42461848131795
"ENSG00000068078.17",-1.05925340845051,-1.37039993969484,-0.890494694270351,0.0828899391927606,-0.660007931719285,0.755734609821231,1.77713521452119,-0.887591371584994
"ENSG00000172201.11",-0.865680113870939,-0.623542507603054,-0.429548403714542,0.63079647203214,-0.5296330269241,-1.16493286637611,2.09912794839888,-0.955526973611908
"ENSG00000171885.13",-0.890527651842629,-1.0214347937751,-1.28382466015188,-0.372574496438367,-0.414967797561877,-0.778098002459775,1.73813199078732,-0.424317360610451
"ENSG00000125148.6",-0.130295020364081,-0.428152276036812,-0.118076902347391,-0.303066991491479,0.940055921136914,1.45128844656828,2.6407958854892,0.853107588357082
"ENSG00000087250.8",0.841451039396189,0.209753017994311,-0.000646814453056282,0.34233319971324,0.915544472244915,1.61983020667708,2.43178975109324,0.635040921179602
"ENSG00000198838.13",-0.579145306247977,-0.76082113456496,-0.673321547111108,-0.820638933411708,-1.00472389312866,-1.58275232911971,0.807013068888009,-1.26418113726929
"ENSG00000134769.21",0.27308541555065,-0.295143753288333,-0.102888944773435,-0.121922868403231,-0.102097763070761,0.559422407210234,1.39191441240452,-0.245199928918324
"ENSG00000152661.7",-0.834698871120439,-0.822259170377526,-1.53243771464195,-0.697308811000706,-0.355806743321365,-0.904929284382951,1.76144226260398,0.037971675655835
"ENSG00000164089.8",-0.822874663792209,-1.44482241522727,-1.53243771464195,-1.56852235591249,-0.626444619568165,-1.24026905286913,1.69462848187023,-0.537683393385853
"ENSG00000144040.12",-0.139802972986019,-0.822354957661951,-0.329117733381734,-0.224963079404695,-0.374244800868769,-0.562122997889319,1.09468460650514,-0.358346223637481
"ENSG00000018625.14",-0.380457247518235,-0.944025635205904,-1.29370971641516,-0.287968976598668,-0.636446392356222,1.02867918722483,1.60113639137279,1.00583922312391
"ENSG00000129244.8",-0.41339676401267,1.02953136656582,0.51939795113422,0.0411856480720898,-0.475948181454282,1.09249964524046,1.76717421516747,-0.112384040402104
"ENSG00000111907.20",-0.282021275017141,-0.500595715577243,-0.723962782499403,-1.05156954827576,-1.01870984864915,-1.24929577739197,1.11589711380466,-1.10163534991275
"ENSG00000132321.16",0.26220316931797,-0.437363483830269,0.00499078473903441,-0.171423865124194,-0.980688497294575,-1.66474282559122,1.20325365902973,-1.45422196232376
"ENSG00000164398.12",0.340087593200637,0.21429972504524,0.209503742583909,-0.355223137345829,-0.404218236218834,0.265172713909012,1.05133318007362,-1.09595880505977
"ENSG00000125462.16",-0.3755330126617,-0.145346626337508,-0.77940501002908,0.0983959532429014,-0.120385441838448,1.55765455854648,1.51012085470389,-0.647163235072862
"ENSG00000116147.16",0.252288683788023,-0.162721168477769,-0.00499620806046464,-0.544941266084445,-0.843340286704534,1.60229816130384,-0.901406454245463,-0.98885722679303
"ENSG00000134853.11",-1.28359036039123,-0.758224524099148,-1.53243771464195,-1.56852235591249,-0.982441366090927,1.6491320906444,-1.14149028975457,-1.05776530095509
"ENSG00000106278.11",-0.110390566865297,-0.542543431593164,-0.398141783953937,0.069771820461348,-0.680920693669012,2.12816044712498,1.11902886142413,-0.659831960651872
"ENSG00000038427.15",-1.44603361307152,-0.649692717790507,-0.944560890952609,0.718233654315622,-0.909190427674499,1.52953156000519,0.293216495191049,-0.920533224614142
"ENSG00000110693.16",-1.48894957471769,-0.725650933695069,-1.44514971855805,-1.30799913235822,-0.796201072461633,1.16559528482608,0.0419068427012804,-1.32907837232731
"ENSG00000150275.17",-0.2481529690515,-1.15058557440332,-0.832432636336297,-1.56852235591249,-1.07161411931866,1.05351388541423,-1.22889475171184,-1.34598620733612
"ENSG00000156103.15",0.129164136517796,-0.743691458745375,0.0549553406430103,0.0816102125303405,-1.00198997199585,1.14075227563183,-1.17626374946043,-1.21043099322501
"ENSG00000171587.14",-0.452306059594754,-0.502847539590672,-0.267661439522792,-1.09112260375689,-1.07353145334224,1.18825283061321,-1.11888232013295,-0.924760209943866
"ENSG00000144285.16",-0.234748440308619,0.728058703018423,0.245521269153203,0.178983194652929,-0.952772784942256,1.16331948385347,-0.601880225570394,-1.20931756675499
"ENSG00000101311.15",-0.997949053617691,-1.33902254070986,-0.930517854195524,-1.56852235591249,-0.853302376752048,1.36976338220249,-1.27607056237106,-1.18486190338173
"ENSG00000112280.15",-1.26408720182174,-1.11988264802963,-1.31535110722541,-1.02684500598026,-0.979133755923488,1.1925909155875,-1.15552742293453,-1.08171562724832
"ENSG00000166573.5",-1.46495647232859,-1.51955778697467,-0.798412457597356,-1.56852235591249,-1.09020379229683,0.79986878420506,-1.27338737686941,-1.45422196232376
"ENSG00000139289.13",-0.692151013440676,-0.584652512909486,-0.114720847423563,-0.244260725160315,-0.883759129528962,1.09046160471542,-1.01773682952644,-0.449806490866857
"ENSG00000112902.11",-0.157725466756381,-0.862150084570396,-0.498181520579275,-0.695484951689457,-0.639245923591196,0.856059937167515,-1.22724546717609,-1.03703560179956
"ENSG00000198732.10",-1.30496730837559,-0.0979711333501989,-1.53243771464195,-0.550124524508008,0.324426263176709,1.62052382173163,-0.310365029011153,-0.849759156739848
"ENSG00000132692.18",-0.689042096740723,-0.199099883673963,-1.2413779886269,-0.605159173690982,-0.112309069488832,1.85492689069444,1.25385621087083,-0.65737904398576
"ENSG00000061938.16",0.293874505063995,0.0307818072570105,0.136841362771283,-0.481140358263275,0.238139939632931,1.56537695952432,0.215663131011794,0.247106845591935
"ENSG00000152492.13",-0.476331527950853,-0.255783869515499,-0.12457734079363,0.00153121896680268,-0.0554490779473491,1.36420130257778,0.00319402216510514,0.657997598884653
"ENSG00000072134.15",0.0646439238593278,-0.00655383146717581,0.170473236003099,0.115052999370748,1.12058862756498,2.02323533612643,0.272713112709222,0.398360730226437
"ENSG00000139910.19",0.239483340319277,0.158194105640291,0.447338566305293,-0.175811617323053,0.814913387991615,1.68508728607722,0.296003218707671,-0.379679560882435
"ENSG00000171246.5",0.986351611148758,-1.13330417245005,-0.73693032931553,-0.318472375550652,-0.761046036419518,-1.44262882606373,-1.19056026969197,-0.833634303684049
"ENSG00000116254.17",1.13174308235447,0.793317259621581,0.788700863287534,0.399420665318071,-0.926966292226501,-1.50608253485297,-1.14423460896128,-0.973401890862637
"ENSG00000171617.13",1.63223445256468,0.323336338213225,0.202214478635,1.39444614340173,-0.372703507806437,-0.277293472354547,-0.696507858773584,0.387773892947836
"ENSG00000176884.14",1.3459237643548,1.27672406861284,1.44525596550419,0.43899653191728,-0.619382439259759,-1.21123896871602,-1.14766164777415,-0.382039243074759
"ENSG00000070808.15",1.45161472162065,0.636616037775547,1.14625756283962,0.24860327468622,-0.354767574534077,-0.602169504440227,-0.188136418024583,0.112845223569522
"ENSG00000101489.19",1.36926884349451,1.16690008321339,1.59737403209282,0.772825383437333,-0.396547609885362,-0.783665924597399,-0.59360969492077,-0.390431356784495
"ENSG00000161082.12",1.40035498727427,0.859867068399632,1.39874324351297,0.956782975748188,-0.814008805968118,0.315045150233039,-1.08511825577026,-0.698708746775383
"ENSG00000280650.1",1.18877900329288,0.121915491219443,1.45271934035966,-0.341954308912075,-0.995811486323806,0.926179056193602,-1.3070564298289,-1.16598336141716
